source_strategy,source_category_id,source_category_name,source_category_path,source_asin,source_parent_asin,product_name,category,marketplace,target_price,cost,shipping,fba_fee,referral_fee_rate,est_monthly_sales,avg_review_count,avg_rating,top10_review_share,keyword_search_volume,keyword_cpc,seasonality_score,differentiation_score,compliance_risk,fragile_risk,oversize_risk,market_data_completeness,profit_data_confidence,evidence_confidence,evidence_grade,data_source_summary,profit_estimate_status,notes,listing_url,opportunity_score,recommendation,gross_profit_per_unit,gross_margin,monthly_gross_profit,demand_score,competition_score,profitability_score,risk_score,risk_control_score,key_flags,brand_moat_reason,hard_stop_reason,archive_key,archive_first_seen,archive_last_seen,archive_seen_count,archive_best_score,archive_latest_score,archive_best_recommendation,archive_latest_recommendation,archive_status,archive_last_run_id,research_status,archive_notes
category:Storage,3397571,Storage,Sports & Outdoors > Sports > Boating & Sailing > Boating > Boat Cabin Products > Storage,B0GM1FW3J1,,"Seaperk Boat Caddy Organizer, 3-in-1 Mount (Screw/Fishing Boat Track/Clamp-On), Removable Divider Card & Anti-Slip Pad, Fits 40oz Tumbler, for Boat Kayak Tree Stand Bicycle Walker Wheelchair",Sports & Outdoors > Sports > Boating & Sailing > Boating > Boat Cabin Products > Storage,US,17.99,5.04,1.44,5.77,0.15,466.0,85.0,4.1,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GM1FW3J1; brand Seaperk,https://www.amazon.com/dp/B0GM1FW3J1,54.1,Watch or collect more data,3.04,0.1691,1417.34,81.6,60.3,1.2,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Toilet Brushes & Holders,85975011,Toilet Brushes & Holders,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Brushes > Toilet Brushes & Holders,B0FPVS8NGD,,"Disposable Toilet Bowl Brush with 36 Count Refills, Toilet Cleaning Stick,Toilet Bowl Cleaner Holder and Set, Toilet Cleaning System Starter Kit",Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Brushes > Toilet Brushes & Holders,US,24.99,7.0,2.0,6.78,0.15,2068.0,161.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FPVS8NGD; brand MNWHUC,https://www.amazon.com/dp/B0FPVS8NGD,53.8,Watch or collect more data,5.46,0.2185,11294.38,87.3,46.8,20.9,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Buckets,2245509011,Buckets,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Buckets,B0G24F8SRT,,"Folding Bucket, Water Bucket, 5L, 10L, Thick, Multi-Functional, Convenient, Foot Bath, Square, Stylish, Camping, Laundry, car wash, Foot Bath, Fishing (Beige-5L)",Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Buckets,US,12.59,3.53,1.01,5.95,0.15,343.0,16.0,4.0,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0G24F8SRT; brand Gorocking,https://www.amazon.com/dp/B0G24F8SRT,53.8,Watch or collect more data,0.21,0.0168,72.54,61.1,70.3,0.0,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Cleaning Tools,3398891,Cleaning Tools,Sports & Outdoors > Sports > Boating & Sailing > Boating > Maintenance Supplies > Cleaning Tools,B0DN1NBQ17,,WAVESRX PWC & Boat Wash Sprayer & Engine Flush Mixer to Wash Salt Away | Dual-Use Marine Soap Foamer to Quickly Wash and Rinse | Cleaning Kit for Boating with Garden Hose Quick-Connect,Sports & Outdoors > Sports > Boating & Sailing > Boating > Maintenance Supplies > Cleaning Tools,US,44.99,12.6,3.6,5.35,0.15,205.0,60.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0DN1NBQ17; brand WAVESRX,https://www.amazon.com/dp/B0DN1NBQ17,53.7,Watch or collect more data,16.69,0.371,3421.76,38.1,58.3,46.4,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Hand Brooms,14253841,Hand Brooms,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Sweeping > Brooms > Hand Brooms,B0D9BVF267,,Tioncy 8 Pieces Wooden Dust Brush Bulk Hand Broom Bench Brush,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Sweeping > Brooms > Hand Brooms,US,27.99,7.84,2.24,6.25,0.15,350.0,47.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0D9BVF267; brand Tioncy,https://www.amazon.com/dp/B0D9BVF267,53.6,Watch or collect more data,7.46,0.2666,2611.52,62.3,63.3,11.7,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Wine Stoppers,678499011,Wine Stoppers,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Bar & Wine Tools > Wine Stoppers & Pourers > Wine Stoppers,B0B6Q2SC2J,,"Barrel-Art Bourbon Stopper Display for Blanton‘s, Natural Metal Hoop | Reclaimed bourbon barrel stave cork display with metal hoop accents; holds all 8 horse stoppers. Stoppers not included",Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Bar & Wine Tools > Wine Stoppers & Pourers > Wine Stoppers,US,69.99,19.6,5.6,11.09,0.15,252.0,128.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0B6Q2SC2J; brand Barrel-Art,https://www.amazon.com/dp/B0B6Q2SC2J,53.6,Watch or collect more data,23.2,0.3315,5846.78,46.0,46.8,61.1,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Push Brooms,14253851,Push Brooms,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Sweeping > Brooms > Push Brooms,B0H35LT94R,,"Floor Scrub Brush with Squeegee Long Handle 3 in 1 tub Brush 52‘‘ 2026 Upgraded Multi-Functional Stiff Bristle Cleaning Scrub Brush Rotating Tile Brush for Cleaning Bathroom Patio, Pool, Garage",Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Sweeping > Brooms > Push Brooms,US,21.59,6.05,1.73,6.38,0.15,908.0,131.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0H35LT94R; brand ARAINY,https://www.amazon.com/dp/B0H35LT94R,52.9,Watch or collect more data,4.19,0.1941,3805.88,87.3,50.8,8.0,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Garlic Presses,678518011,Garlic Presses,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Seasoning & Spice Tools > Garlic Tools > Garlic Presses,B0H4Q6424Q,,"Garlic Grinder Mini Hand Grinder for Garlic Small Hand Press Specialty Tool Multi Functional Cutter Tools, Rose Red",Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Seasoning & Spice Tools > Garlic Tools > Garlic Presses,US,19.99,5.6,1.6,3.6,0.15,244.0,1.0,4.0,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,50.0,20.0,42.5,C,"observed:sales,reviews,rating; estimated:price,fba_fee,search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0H4Q6424Q; brand Generic,https://www.amazon.com/dp/B0H4Q6424Q,52.9,Watch or collect more data,6.19,0.3097,1510.73,44.6,70.3,11.8,22.0,78.0,supplier quote required; estimated profit is not a rejection gate; evidence confidence below supplier-validation threshold,,,,,,,,,,,,,,
category:Buckets,2245509011,Buckets,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Buckets,B0GKQK629K,,"Hachiman Micro Bucket, 0.18 Gallon Heavy Duty Bucket with Lid & Handle",Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Buckets,US,20.0,5.6,1.6,8.3,0.15,429.0,80.0,4.1,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GKQK629K; brand Hachiman,https://www.amazon.com/dp/B0GKQK629K,52.8,Watch or collect more data,1.5,0.075,643.5,75.5,60.3,0.0,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Storage,3397571,Storage,Sports & Outdoors > Sports > Boating & Sailing > Boating > Boat Cabin Products > Storage,B0FPX95B8J,,"QualyQualy Self-Adhesive Boat Cup Holder Phone Holder, 2-Pack Boat Organizers and Storage Bag with Strong Adhesive, 6.5“x7.5“ Boat Caddy, Securely Tools Holds Large Drink Bottles (3.3“ In Dia)",Sports & Outdoors > Sports > Boating & Sailing > Boating > Boat Cabin Products > Storage,US,15.99,4.48,1.28,4.18,0.15,429.0,91.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FPX95B8J; brand QualyQualy,https://www.amazon.com/dp/B0FPX95B8J,52.3,Watch or collect more data,3.65,0.2284,1566.49,75.5,58.3,1.6,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Tool Trays,15709201,Tool Trays,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Trays,B0CJJD5BZQ,,"Magnetic Socket Organizer Set, 6PCS Socket Holder, 1/4“, 3/8“, 1/2“ Sockets Holds 143 Pieces Magnetic Sockets Trays (Blue&red, 6 Pcs)",Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Trays,US,36.99,10.36,2.96,9.32,0.15,3273.0,689.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0CJJD5BZQ; brand SWANLAKE GARDEN TOOLS,https://www.amazon.com/dp/B0CJJD5BZQ,45.0,Reject,8.8,0.2379,28807.31,87.3,24.3,27.6,22.0,78.0,supplier quote required; estimated profit is not a rejection gate; review count above 600,,,,,,,,,,,,,,
category:Decorative Garden Stools,3563985011,Decorative Garden Stools,"Patio, Lawn & Garden > Outdoor Décor > Decorative Garden Stools",B0H49HFY43,,"zaowofires Solid Wooden Stool,Plant Stand,Step Stool,Light Walnut,10“ H","Patio, Lawn & Garden > Outdoor Décor > Decorative Garden Stools",US,32.99,9.24,2.64,8.26,0.15,1151.0,229.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0H49HFY43; brand zaowofires,https://www.amazon.com/dp/B0H49HFY43,45.0,Reject,7.9,0.2395,9094.63,87.3,36.8,25.8,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Dust Mops,23537023011,Dust Mops,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Wet & Dry Mops > Dust Mops,B0G7G9BGXH,,"ZHAYAO Sweeper Mop System with 3 Reusable Microfiber Mop Pads | Dry and Wet Multi Surface Floor Cleaner, Includes 1 Mop + 3 Washable Refills for Hardwood, Tile, and Laminate Floor Cleaning",Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Wet & Dry Mops > Dust Mops,US,16.99,4.76,1.36,5.77,0.15,2591.0,333.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0G7G9BGXH; brand ZHAYAO,https://www.amazon.com/dp/B0G7G9BGXH,45.0,Reject,2.55,0.1502,6610.94,87.3,40.8,16.0,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:String Mops,23537022011,String Mops,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Wet & Dry Mops > String Mops,B0GT84XZ7T,,Aegishome Self Wringing Twist Mop for Floor Cleaning,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Wet & Dry Mops > String Mops,US,19.99,5.6,1.6,5.95,0.15,270.0,45.0,4.2,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GT84XZ7T; brand AegisHome,https://www.amazon.com/dp/B0GT84XZ7T,45.0,Reject,3.84,0.1922,1037.2,49.0,63.3,0.1,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Hand Brooms,14253841,Hand Brooms,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Sweeping > Brooms > Hand Brooms,B0FGXPBVVC,,"Indoor Broom Soft Bristle Brooms - Brooms for Sweeping Indoor Pet Hair, House Broom for Cleaning Hardwood, Tile, and Decking Surfaces Across.（Green）",Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Sweeping > Brooms > Hand Brooms,US,13.38,3.75,1.07,5.75,0.15,631.0,250.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FGXPBVVC; brand Zthluyc,https://www.amazon.com/dp/B0FGXPBVVC,45.0,Reject,0.8,0.06,506.69,87.3,40.8,0.0,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Buckets,2245509011,Buckets,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Buckets,B0F4QZ2RH8,,"Cleaning Caddy with Handle, Cleaning Products Organiser, 17L Foldable Storage Basket, Cleaning Caddy Organiser, Portable Multi Cleaning Bucket Bag for Home, Garden (Black)",Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Buckets,US,19.99,5.6,1.6,6.13,0.15,754.0,262.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0F4QZ2RH8; brand Bototack,https://www.amazon.com/dp/B0F4QZ2RH8,45.0,Reject,3.66,0.1832,2760.77,87.3,36.8,5.0,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Bottle Openers,3109475011,Bottle Openers,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Bar & Wine Tools > Corkscrews & Openers > Bottle Openers,B0BRK7R9W5,,QTLCOHD 20 Pack Flat Bottle Opener - 7 Inch Stainless Steel Bottle Openers,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Bar & Wine Tools > Corkscrews & Openers > Bottle Openers,US,24.99,7.0,2.0,7.65,0.15,490.0,153.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0BRK7R9W5; brand QTLCOHD,https://www.amazon.com/dp/B0BRK7R9W5,45.0,Reject,4.59,0.1837,2249.83,85.6,46.8,3.6,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Screwpull Levers,13825981,Screwpull Levers,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Bar & Wine Tools > Corkscrews & Openers > Screwpull Levers,B08MJ7FMV1,,Forge Quality Compact Vertical Lever Corkscrew Wine Opener with Foil Cutter. 3 Seconds to Open a Bottle of Wine. Metallic Bronze,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Bar & Wine Tools > Corkscrews & Openers > Screwpull Levers,US,27.95,7.83,2.24,4.87,0.15,2473.0,421.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B08MJ7FMV1; brand Forge,https://www.amazon.com/dp/B08MJ7FMV1,45.0,Reject,8.82,0.3155,21805.68,87.3,28.3,36.4,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
