source_strategy,source_category_id,source_category_name,source_category_path,source_asin,source_parent_asin,product_name,category,marketplace,target_price,cost,shipping,fba_fee,referral_fee_rate,est_monthly_sales,avg_review_count,avg_rating,top10_review_share,keyword_search_volume,keyword_cpc,seasonality_score,differentiation_score,compliance_risk,fragile_risk,oversize_risk,market_data_completeness,profit_data_confidence,evidence_confidence,evidence_grade,data_source_summary,profit_estimate_status,notes,listing_url,opportunity_score,recommendation,gross_profit_per_unit,gross_margin,monthly_gross_profit,demand_score,competition_score,profitability_score,risk_score,risk_control_score,key_flags,brand_moat_reason,hard_stop_reason,archive_key,archive_first_seen,archive_last_seen,archive_seen_count,archive_best_score,archive_latest_score,archive_best_recommendation,archive_latest_recommendation,archive_status,archive_last_run_id,research_status,archive_notes
category:Storage,3397571,Storage,Sports & Outdoors > Sports > Boating & Sailing > Boating > Boat Cabin Products > Storage,B0CZXZK1BW,,"MISSION Boat Gear Heavy Duty Outddor CASSI Tote Boat Bag, Mesh Beach Bag | Multiple Colors, Waterproof Base, Boat Cabin Storage, Mesh, Boat, Beach, Grocery, Travel, Pool, Premium Marine Gear",Sports & Outdoors > Sports > Boating & Sailing > Boating > Boat Cabin Products > Storage,US,49.0,13.72,3.92,8.22,0.15,475.0,290.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0CZXZK1BW; brand MISSION,https://www.amazon.com/dp/B0CZXZK1BW,54.7,Watch or collect more data,15.79,0.3222,7500.25,83.1,36.8,49.8,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Tool Trays,15709201,Tool Trays,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Trays,B0D3TCVJPK,,"Magnetic Socket Holder Organizer Set: 9-Piece Detachable 1/4, 3/8, 1/2 Socket Trays Socket Organizer for Tool Box Drawer Holds 120-Piece Standard Size Sockets for Automotive Garage(Blue Red Green)",Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Trays,US,39.99,11.2,3.2,8.25,0.15,1412.0,265.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0D3TCVJPK; brand SEDY,https://www.amazon.com/dp/B0D3TCVJPK,54.6,Watch or collect more data,11.34,0.2836,16014.2,87.3,40.8,37.2,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Storage,3397571,Storage,Sports & Outdoors > Sports > Boating & Sailing > Boating > Boat Cabin Products > Storage,B0GM1FW3J1,,"Seaperk Boat Caddy Organizer, 3-in-1 Mount (Screw/Fishing Boat Track/Clamp-On), Removable Divider Card & Anti-Slip Pad, Fits 40oz Tumbler, for Boat Kayak Tree Stand Bicycle Walker Wheelchair",Sports & Outdoors > Sports > Boating & Sailing > Boating > Boat Cabin Products > Storage,US,17.99,5.04,1.44,5.77,0.15,466.0,85.0,4.1,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GM1FW3J1; brand Seaperk,https://www.amazon.com/dp/B0GM1FW3J1,54.1,Watch or collect more data,3.04,0.1691,1417.34,81.6,60.3,1.2,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Toilet Brushes & Holders,85975011,Toilet Brushes & Holders,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Brushes > Toilet Brushes & Holders,B0FPVS8NGD,,"Disposable Toilet Bowl Brush with 36 Count Refills, Toilet Cleaning Stick,Toilet Bowl Cleaner Holder and Set, Toilet Cleaning System Starter Kit",Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Brushes > Toilet Brushes & Holders,US,24.99,7.0,2.0,6.78,0.15,2068.0,161.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FPVS8NGD; brand MNWHUC,https://www.amazon.com/dp/B0FPVS8NGD,53.8,Watch or collect more data,5.46,0.2185,11294.38,87.3,46.8,20.9,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Wine Pourers,678498011,Wine Pourers,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Bar & Wine Tools > Wine Stoppers & Pourers > Wine Pourers,B002J8RRAM,,"Spill-Stop 285-50 Chrome Tapered Pourer Dispenser, Spouts Liquor Bottle Pourer with Poly-Cork, Black/Silver, 12 Units",Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Bar & Wine Tools > Wine Stoppers & Pourers > Wine Pourers,US,25.28,7.08,2.02,4.17,0.15,410.0,154.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B002J8RRAM; brand Spill-Stop,https://www.amazon.com/dp/B002J8RRAM,53.0,Watch or collect more data,8.22,0.3251,3369.38,72.3,50.8,23.2,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Push Brooms,14253851,Push Brooms,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Sweeping > Brooms > Push Brooms,B0H35LT94R,,"Floor Scrub Brush with Squeegee Long Handle 3 in 1 tub Brush 52‘‘ 2026 Upgraded Multi-Functional Stiff Bristle Cleaning Scrub Brush Rotating Tile Brush for Cleaning Bathroom Patio, Pool, Garage",Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Sweeping > Brooms > Push Brooms,US,21.59,6.05,1.73,6.38,0.15,908.0,131.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0H35LT94R; brand ARAINY,https://www.amazon.com/dp/B0H35LT94R,52.9,Watch or collect more data,4.19,0.1941,3805.88,87.3,50.8,8.0,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Bowls,3400711,Bowls,Sports & Outdoors > Outdoor Recreation > Camping & Hiking > Camp Kitchen > Dishes & Utensils > Bowls,B0DPNMPMVS,,"Coghlan‘s Snapfold™ Bowls 2-Pack – Collapsible, Lightweight and Leakproof for Camping, Hiking, Travel, Picnics, and Outdoor Adventures, BPA-Free, Foldable Space-Saving Design for Easy Storage",Sports & Outdoors > Outdoor Recreation > Camping & Hiking > Camp Kitchen > Dishes & Utensils > Bowls,US,14.99,4.2,1.2,3.36,0.15,684.0,178.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0DPNMPMVS; brand Coghlan’s,https://www.amazon.com/dp/B0DPNMPMVS,52.7,Watch or collect more data,3.98,0.2656,2723.35,87.3,50.8,7.0,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Angle Brooms,14253831,Angle Brooms,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Sweeping > Brooms > Angle Brooms,B0GKLCLL5X,,"Corn Broom Outdoor, Household Indoor and Outdoor Broom Suitable for Sweeping Gravel, Fallen Leaves and Sand on Yard, Garage, Lawn, Stone Path and Concrete Floor",Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Sweeping > Brooms > Angle Brooms,US,21.99,6.16,1.76,7.74,0.15,677.0,198.0,3.8,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GKLCLL5X; brand TrueYee,https://www.amazon.com/dp/B0GKLCLL5X,52.7,Watch or collect more data,3.03,0.1379,2052.33,87.3,52.8,3.0,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Buckets,2245509011,Buckets,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Buckets,B0FJDHYTYD,,"DecorRack 2 Plastic Wash Basins, Large 10 Quart Graduated Bucket, Portable Washbasin for Washing, Cleaning, Foot Bath, Dishes, Face Cleansing Bowl, Black (2 Pack)",Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Buckets,US,24.99,7.0,2.0,9.17,0.15,813.0,102.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FJDHYTYD; brand DecorRack,https://www.amazon.com/dp/B0FJDHYTYD,52.2,Watch or collect more data,3.07,0.1229,2497.13,87.3,50.8,4.3,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Tool Trays,15709201,Tool Trays,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Trays,B0CJJD5BZQ,,"Magnetic Socket Organizer Set, 6PCS Socket Holder, 1/4“, 3/8“, 1/2“ Sockets Holds 143 Pieces Magnetic Sockets Trays (Blue&red, 6 Pcs)",Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Trays,US,36.99,10.36,2.96,9.32,0.15,3273.0,689.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0CJJD5BZQ; brand SWANLAKE GARDEN TOOLS,https://www.amazon.com/dp/B0CJJD5BZQ,45.0,Reject,8.8,0.2379,28807.31,87.3,24.3,27.6,22.0,78.0,supplier quote required; estimated profit is not a rejection gate; review count above 600,,,,,,,,,,,,,,
category:Decorative Garden Stools,3563985011,Decorative Garden Stools,"Patio, Lawn & Garden > Outdoor Décor > Decorative Garden Stools",B0H49HFY43,,"zaowofires Solid Wooden Stool,Plant Stand,Step Stool,Light Walnut,10“ H","Patio, Lawn & Garden > Outdoor Décor > Decorative Garden Stools",US,32.99,9.24,2.64,8.26,0.15,1151.0,229.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0H49HFY43; brand zaowofires,https://www.amazon.com/dp/B0H49HFY43,45.0,Reject,7.9,0.2395,9094.63,87.3,36.8,25.8,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Dust Mops,23537023011,Dust Mops,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Wet & Dry Mops > Dust Mops,B0G7G9BGXH,,"ZHAYAO Sweeper Mop System with 3 Reusable Microfiber Mop Pads | Dry and Wet Multi Surface Floor Cleaner, Includes 1 Mop + 3 Washable Refills for Hardwood, Tile, and Laminate Floor Cleaning",Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Wet & Dry Mops > Dust Mops,US,16.99,4.76,1.36,5.77,0.15,2591.0,333.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0G7G9BGXH; brand ZHAYAO,https://www.amazon.com/dp/B0G7G9BGXH,45.0,Reject,2.55,0.1502,6610.94,87.3,40.8,16.0,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
