source_strategy,source_asin,source_parent_asin,product_name,category,marketplace,target_price,cost,shipping,fba_fee,referral_fee_rate,est_monthly_sales,avg_review_count,avg_rating,top10_review_share,keyword_search_volume,keyword_cpc,seasonality_score,differentiation_score,compliance_risk,fragile_risk,oversize_risk,market_data_completeness,profit_data_confidence,evidence_confidence,evidence_grade,data_source_summary,profit_estimate_status,notes
category:Bread Boxes,B0DG5H5S9Z,B0FH2C719T,"vensovo Bread Box for Countertop, Small White Metal Bin with Bamboo Lid | Small farmhouse bread storage container and bread bin with cutting board lid for homemade bread and baked goods organization.","['Kitchen & Dining', 'kitchen']",US,25.99,7.28,2.08,8.41,0.15,292.0,153.0,4.5,0.55,10000,1.0,20.0,50,25.0,20,45,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0DG5H5S9Z; parent B0FH2C719T; brand vensovo
category:Bread Boxes,B0C9F75MJD,B0C9F3KXPW,"Bread Container (2 Pack) Bread Loaf Keeper, Fresh Bread Storage Container, Clear Bread Saver, Bread Holder - Bread Bin for Bun, Bagel, and Bread Loaf, Plastic Bread Box (White & Brown) Stock Your Home","['Kitchen & Dining', 'kitchen']",US,19.99,5.6,1.6,7.93,0.15,281.0,587.0,4.4,0.55,10000,1.0,20.0,50,25.0,20,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0C9F75MJD; parent B0C9F3KXPW; brand Stock Your Home
category:Cake Carriers,B09P211PNN,B0F2JNM28W,"Evelots Pie Container with Lid, 2-Pack, 11-Inch, Clear, BPA-Free | Portable dessert carriers feature secure covers to protect baked goods during storage, travel, parties and family gatherings.","['Kitchen & Dining', 'kitchen']",US,24.98,6.99,2.0,8.22,0.15,1929.0,1280.0,4.5,0.55,10000,1.0,20.0,50,25.0,20,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B09P211PNN; parent B0F2JNM28W; brand Evelots
category:Cake Carriers,B088FZNRPK,B08W3RX4QH,"Top Shelf Elements Round Cake Carrier Two Sided Cake Holder Serves as Five Section Serving Tray, Portable Cake Stand Fits 10 inch Cake, Cake Box Comes With Handle, Cake Container Holds Pies (White)","['Kitchen & Dining', 'kitchen']",US,23.99,6.72,1.92,9.08,0.15,1601.0,2452.0,4.4,0.55,10000,1.0,20.0,50,25.0,20,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B088FZNRPK; parent B08W3RX4QH; brand Highball & Chaser
category:Cake Carriers,B0CD7HPTJP,B0FKGRSP36,"Cake Carrier with Lid and Handle，BPA-Free Cake Holder Cake Containers | Cake Stand for 10 inch Cake with Cupcake Carrier, Plastic Cover 2-Sided Base for Transport Storage Nut Fruit, Perfect Gifts","['Kitchen & Dining', 'kitchen']",US,22.99,6.44,1.84,9.46,0.15,1430.0,1088.0,4.6,0.55,10000,1.0,20.0,50,25.0,20,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0CD7HPTJP; parent B0FKGRSP36; brand Mamajardin
category:Cake Carriers,B0FCS675XR,B0FRFZVRHJ,"Cake Carrier With Lid And Handle, Bpa-Free Cake Holder With Lid For 10 Inch Round Cake Carrier With 10 pcs Round Golden Cake Boards And Portable Insulated Bag","['Kitchen & Dining', 'kitchen']",US,29.99,8.4,2.4,9.37,0.15,762.0,194.0,4.6,0.55,10000,1.0,20.0,50,25.0,20,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FCS675XR; parent B0FRFZVRHJ; brand HYLCWTH
category:Cake Carriers,B0G1LSP8MN,B0GGYWX6C3,"Zezzxu 50 Pack Triangle Cake Slice Containers To Go Dessert Boxes | Disposable Pie Slice Container with Lid, Slice Cake Box To Go Containers for Cheesecake, Tiramisu, Flan, Tres Leches Cake","['Kitchen & Dining', 'kitchen']",US,14.99,4.2,1.2,6.22,0.15,700.0,169.0,4.4,0.55,10000,1.0,20.0,50,25.0,20,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0G1LSP8MN; parent B0GGYWX6C3; brand Zezzxu
category:Cake Carriers,B0DLK8FDJV,B0DXWQV83W,Cakebon 12“ Insulated Cake Bag with Ice Pack Cooler Carrier 1Pack,"['Kitchen & Dining', 'kitchen']",US,20.11,5.63,1.61,5.77,0.15,658.0,296.0,4.3,0.55,10000,1.0,20.0,50,25.0,20,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0DLK8FDJV; parent B0DXWQV83W; brand Cakebon
category:Cake Carriers,B0DHYJFYRQ,B0DHYHWN9M,"Cake Carrier with lid and Handle - Multipurpose Cake Stand with Lid for 10” Cake, Pie, Cupcakes - Cake Holder & Lid, Plastic Cake Container, Round Cake Cover for Transport & Storage (Seafoam Green)","['Kitchen & Dining', 'kitchen']",US,20.95,5.87,1.68,8.88,0.15,655.0,312.0,4.6,0.55,10000,1.0,20.0,50,25.0,20,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0DHYJFYRQ; parent B0DHYHWN9M; brand Davlan
category:Cake Carriers,B08T9Z9L3M,B0B1ZCG6LV,"Top Shelf Elements Pie, Cheesecake Carrier for up to 10 in x 4 1/2 in cake. Two Sided Fashionable Stand Doubles as Five Section Serving Tray Perfect Taker Caddie for Travel (White)","['Kitchen & Dining', 'kitchen']",US,23.99,6.72,1.92,8.21,0.15,589.0,1039.0,4.2,0.55,10000,1.0,20.0,50,25.0,20,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B08T9Z9L3M; parent B0B1ZCG6LV; brand Top Shelf Elements
category:Cake Carriers,B0CH9VP8D1,B0DZGP9PN5,"Cake Carrier with Lid and Handle,Fit 10” Cake Stand Cake Holder Container | Pink Cake Transport Storage Container, 3 Secure Side Closures","['Kitchen & Dining', 'kitchen']",US,19.99,5.6,1.6,8.97,0.15,560.0,367.0,4.4,0.55,10000,1.0,20.0,50,25.0,20,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0CH9VP8D1; parent B0DZGP9PN5; brand RTUDOPUYT
category:Cake Carriers,B0FJ8MPX54,B0GF7W1BH6,Foldable Cake Carrier with Lid and Handle Fits 10in round 8.5in High Cake | Tall Cake Transport Container,"['Kitchen & Dining', 'kitchen']",US,24.99,7.0,2.0,9.26,0.15,534.0,72.0,4.2,0.55,10000,1.0,20.0,50,25.0,20,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FJ8MPX54; parent B0GF7W1BH6; brand Targihoemt
category:Cake Carriers,B0C9RLTRGY,B0DG4DMTS9,"EXTRA LARGE & EXTRA STURDY Cake Carrier, Cake Stand with Lid and Foldable Handles - Multifunctional Serving Platter and Cake Plate - Cake Container with Dome and Strong Snaps 13 x 13 x 7 inch (Green)","['Kitchen & Dining', 'kitchen']",US,29.99,8.4,2.4,9.93,0.15,515.0,1028.0,4.6,0.55,10000,1.0,20.0,50,25.0,20,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0C9RLTRGY; parent B0DG4DMTS9; brand MosJos
category:Cake Carriers,B0B652Q7NX,B0B654K34V,Bakepacker White Bakery Boxes with Window - 4x4x2.5 inches Small Size Pastry & Mini Cookie Boxes for Bakeries - Thick & Sturdy (100 Packs),"['Kitchen & Dining', 'kitchen']",US,23.98,6.71,1.92,8.06,0.15,508.0,913.0,4.6,0.55,10000,1.0,20.0,50,25.0,20,45,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0B652Q7NX; parent B0B654K34V; brand Bakepacker
category:Cake Carriers,B09TSL7ZT8,B0D9NQ4V35,"200 Pcs Cake Slice Containers with Lids Clear Plastic Hinged Cheesecake Containers Individual Disposable Triangle Cake Boxes for Pie Slice Cheesecake, Tres Leches, Flan, Desserts - Take Out Togo","['Kitchen & Dining', 'kitchen']",US,22.99,6.44,1.84,8.5,0.15,456.0,512.0,4.2,0.55,10000,1.0,20.0,50,25.0,20,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B09TSL7ZT8; parent B0D9NQ4V35; brand LISHINE
category:Cake Carriers,B0BKSLP2NL,B0C4N5VVH2,"Goiio 100 Pieces Cake Slice Plastic Containers | 4.33 Inches Hinged Lid Cheese cake Container, for Home, Bakery","['Kitchen & Dining', 'kitchen']",US,18.99,5.32,1.52,6.23,0.15,390.0,1332.0,4.3,0.55,10000,1.0,20.0,50,25.0,20,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0BKSLP2NL; parent B0C4N5VVH2; brand Goiio
category:Cake Carriers,B0FVWRHYQ2,B0FVWRHYQ2,"Atojrro Clear Plastic Mini Cake Box, Round Cupcake Holders Plastic Egg-Yolk Puff Container Mooncake Dome Boxes Baking Packing Box (Gold, 3.1 inch,50 Set)","['Kitchen & Dining', 'kitchen']",US,12.98,3.63,1.04,5.36,0.15,388.0,33.0,3.9,0.55,10000,1.0,20.0,50,25.0,20,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FVWRHYQ2; parent B0FVWRHYQ2; brand Atojrro
category:Cake Carriers,B0FXX67KJY,B0FXX67KJY,"100Pcs Cake Slice Containers,Pie Containers for 6”-8” Diameter Cake Slices | Dot Cake Container for Take Out Packaging,Plastic Disposable Triangle Boxes,Individual Cheesecake Container for Home, Bakerys","['Kitchen & Dining', 'kitchen']",US,14.99,4.2,1.2,6.22,0.15,387.0,63.0,3.7,0.55,10000,1.0,20.0,50,25.0,20,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FXX67KJY; parent B0FXX67KJY; brand YOIYINI
category:Cake Carriers,B0GQSH6H9K,B0GQSDCYWL,"6 Pack Disposable Cake Containers with Lids,10“ Plastic Cake Stand with Lid | Cake Carrier, Cakes Covers Plastic with Dome and Base, Display Containers For Transport, Bundt Cake Pan","['Kitchen & Dining', 'kitchen']",US,19.97,5.59,1.6,8.99,0.15,316.0,26.0,3.8,0.55,10000,1.0,20.0,50,25.0,20,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GQSH6H9K; parent B0GQSDCYWL; brand RTUDOPUYT
category:Cake Carriers,B0GH3VYJ5F,B0GH3VYJ5F,"6-Pack Cake Carrier Holder Container for 10 Inch Round Cakes - Plastic Disposable Cake Containers, Take Out Storage w/Clear Dome Lids, Black Base Serving Trays, White Cake Boards, 12 x 5 Inches","['Kitchen & Dining', 'kitchen']",US,19.99,5.6,1.6,3.6,0.15,310.0,57.0,4.5,0.55,10000,1.0,20.0,50,25.0,20,45,50,20,42.5,C,"observed:sales,reviews,rating; estimated:price,fba_fee,search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GH3VYJ5F; parent B0GH3VYJ5F; brand Storage Standard
category:Cake Carriers,B08DR5GX76,B08DFF1ZS7,Plastic Small Cake Carrier Holder Round Container with Handles Suitable for 6~8 inch Diameter and 4 inch Height Small Cake (White),"['Kitchen & Dining', 'kitchen']",US,15.99,4.48,1.28,8.03,0.15,297.0,1687.0,4.2,0.55,10000,1.0,20.0,50,25.0,20,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B08DR5GX76; parent B08DFF1ZS7; brand FEOOWV
category:Cake Carriers,B0F99GRRPT,B0FZ95B2LJ,"Ocmoiy Clear Cake Box, 10 x 10 x 12 Inches, 5 Pcs | Tall Cake Boxes with Ribbon, Treat Transport Boxes, For Wedding, Birthday, Party","['Kitchen & Dining', 'kitchen']",US,26.99,7.56,2.16,9.26,0.15,264.0,157.0,4.6,0.55,10000,1.0,20.0,50,25.0,20,45,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0F99GRRPT; parent B0FZ95B2LJ; brand Ocmoiy
category:Cake Carriers,B0CGJ3RJNF,B0CGJ3RJNF,"Cididu 6 Pcs Clear Cake Box with Ribbon 2-Layer 10 x10 x10 Inch, Transparent Cake Carrier Box with Lids, PET Tall Cake Packaging Boxes, Clear Gift Boxes for Mother‘s Day Birthday Wedding Festival Party","['Kitchen & Dining', 'kitchen']",US,22.99,6.44,1.84,8.6,0.15,246.0,228.0,4.6,0.55,10000,1.0,20.0,50,25.0,20,45,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0CGJ3RJNF; parent B0CGJ3RJNF; brand Cididu
category:Cake Carriers,B0DP2SR8FS,B0DP2V577Q,5Pack 10inch Round Clear +Gold Cake Carriers for Transport Plastic Cake Containers Carriers with Dome Lids and Cake Boards Clear Bundt Cake Boxes,"['Kitchen & Dining', 'kitchen']",US,19.99,5.6,1.6,7.93,0.15,225.0,120.0,4.5,0.55,10000,1.0,20.0,50,25.0,20,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0DP2SR8FS; parent B0DP2V577Q; brand FEOOWV
category:Cake Carriers,B0F2B2MX4L,B0FK3Y2PC8,"10Pack 12x12x12 Cake Boxes with Window, Tall White Large Cardboard Bakery Carrier for Multi-Tier Cakes, Wedding, Birthday, Fathers Day, Professional & Home Bakers","['Kitchen & Dining', 'kitchen']",US,16.99,4.76,1.36,8.2,0.15,222.0,66.0,4.0,0.55,10000,1.0,20.0,50,25.0,20,65,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0F2B2MX4L; parent B0FK3Y2PC8; brand Packpal
category:Cake Carriers,B0CC59VL2W,B0CW3B17WS,"VGOODALL Cake Carrier with Lid and Handle, 12 Capacity Cupcake Carrier, 2-in-1 Rectangular Cupcake Holder for Pies Muffin Pizza Nuts Fruit, Dessert Storage Containers for Parties, Picnics, Baking","['Kitchen & Dining', 'kitchen']",US,19.95,5.59,1.6,7.93,0.15,209.0,403.0,4.2,0.55,10000,1.0,20.0,50,25.0,20,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0CC59VL2W; parent B0CW3B17WS; brand VGOODALL
category:Cookie Jars,B0CF843L8P,B0HF16HC6C,"Silver Buffalo Scooby Doo Scooby Snacks, Glass Jar with Lid","['Kitchen & Dining', 'kitchen']",US,24.99,7.0,2.0,6.22,0.15,1109.0,238.0,4.5,0.55,10000,1.0,20.0,50,25.0,20,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0CF843L8P; parent B0HF16HC6C; brand Silver Buffalo
category:Cookie Jars,B085FVJ3CX,B083HDYBGB,"50oz Reinforced Medium Acrylic Storage Jar, Airtight Lid Cookie Jar | Ideal Canisters for Cookies, Dried Fruits, Nuts, Herbs,Cereals,etc","['Kitchen & Dining', 'kitchen']",US,16.45,4.61,1.32,5.87,0.15,836.0,1992.0,4.5,0.55,10000,1.0,20.0,50,25.0,20,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B085FVJ3CX; parent B083HDYBGB; brand IVOOBR
category:Cookie Jars,B0DT6WW3D1,B0FJ1YHNY1,Aneco 24 Pack Red Apple Container Teacher Appreciation Gift Candy Box Valentine Wedding Party Toy Large Filled Plastic Bobbing Apple Candy Jars with Lids Back to School Party Supplies,"['Kitchen & Dining', 'kitchen']",US,14.99,4.2,1.2,9.56,0.15,637.0,70.0,4.4,0.55,10000,1.0,70,50,25.0,20,65,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0DT6WW3D1; parent B0FJ1YHNY1; brand Aneco
category:Cookie Jars,B0CMD4FX78,B0CZFRLCWN,"Restaurantware Glass Penny Candy Jar 1 Count 1 Gallon Wide Opening Glass Storage Jar With Chrome Lid, Crystal-Clear 4.53 x 4.53 x 9.06 Inches For Bulk Ingredients Or Cafe Displays","['Kitchen & Dining', 'kitchen']",US,29.07,8.14,2.33,8.22,0.15,566.0,235.0,4.4,0.55,10000,1.0,20.0,50,25.0,20,45,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0CMD4FX78; parent B0CZFRLCWN; brand Restaurantware
category:Cookie Jars,B08RM22KWS,B08XYCTHH8,"Blue Donuts Vintage Cookie Jar - Airtight Counter Cookie Container, Ivory Tin with Lid for Gift Giving, Large Capacity","['Kitchen & Dining', 'kitchen']",US,21.99,6.16,1.76,8.02,0.15,424.0,1573.0,4.6,0.55,10000,1.0,20.0,50,25.0,20,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B08RM22KWS; parent B08XYCTHH8; brand Blue Donuts
category:Cookie Jars,B0D2ZF742H,B0GVW1JC6W,"Cookie Jar with Airtight Bamboo Lid, 1.1 Gallon, Farmhouse, Off White","['Kitchen & Dining', 'kitchen']",US,26.97,7.55,2.16,7.73,0.15,358.0,127.0,4.5,0.55,10000,1.0,20.0,50,25.0,20,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0D2ZF742H; parent B0GVW1JC6W; brand D’Lifeful
category:Cookie Jars,B0CD2V37CL,B0FHJ92ZX7,"Silver Buffalo Sanrio Hello Kitty, Ceramic Cookie Jar","['Kitchen & Dining', 'kitchen']",US,27.99,7.84,2.24,8.41,0.15,335.0,146.0,4.6,0.55,10000,1.0,20.0,50,25.0,20,45,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0CD2V37CL; parent B0FHJ92ZX7; brand Silver Buffalo
category:Cookie Jars,B0CZQRLGJJ,B0FS6SL5CX,Sumnacon Laundry Pods Container with Wide Mouth Plastic Candy Jar with Lid,"['Kitchen & Dining', 'kitchen']",US,18.99,5.32,1.52,7.93,0.15,292.0,91.0,4.5,0.55,10000,1.0,20.0,50,25.0,20,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0CZQRLGJJ; parent B0FS6SL5CX; brand Sumnacon
category:Cookie Jars,B0CV7H2DLQ,B0GYNJ1MWB,"MACKENZIE-CHILDS Glass Sweets Jar with Lid, Pink-and-White Rosy Check","['Kitchen & Dining', 'kitchen']",US,69.95,19.59,5.6,8.7,0.15,278.0,151.0,4.5,0.55,10000,1.0,20.0,50,25.0,20,45,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0CV7H2DLQ; parent B0GYNJ1MWB; brand MACKENZIE-CHILDS
category:Cupcake Carriers,B092DVD27F,B0CQ4J9ZG7,"Zezzxu 50 Pack Mini Cake Containers with Lids, Gold Domes | Mini Flan Containers, Individual Mini Cupcake Box, Clear Plastic Dessert Domes for Charcuterie, Ore, Cheesecake, Mooncake","['Kitchen & Dining', 'kitchen']",US,12.99,3.64,1.04,4.9,0.15,1594.0,1823.0,4.0,0.55,10000,1.0,20.0,50,25.0,20,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B092DVD27F; parent B0CQ4J9ZG7; brand Zezzxu
