product_form,demand_type,theme,sentiment,mention_count,verified_count,avg_rating,user_profiles,use_scenes,example_asins,latest_review_date,evidence_excerpt
unknown,delight,size_fit,positive,2,0,5.0,family,,B0DDPK4PBW; B0DDPV261N,20241021,Great set for $19. These caddies are well made and sturdy. Screws and anchors were included but I didn‘t use them.  They weren‘t the heavy duty quality but decent enough for the price and weight of these caddies. But I didn‘t use them becau
unknown,uncategorized,value_quantity,positive,2,0,5.0,older_adult,travel,B0DDPK4PBW; B0DDPV261N,20241209,I ordered this set of remote holders for my bedroom after moving into a new apartment where there are several remotes for the lights in addition to the television. I have one of these holders on the wall above the nightstand on each side of
unknown,delight,value_quantity,positive,2,0,5.0,family,,B0DDPK4PBW; B0DDPV261N,20241021,Great set for $19. These caddies are well made and sturdy. Screws and anchors were included but I didn‘t use them.  They weren‘t the heavy duty quality but decent enough for the price and weight of these caddies. But I didn‘t use them becau
caddy,expected,cleaning_maintenance,positive,1,1,5.0,,storage,B0DDPQNDWR,20251224,"This is a great option for keeping remotes organized and easy to find. It was simple to install, doesn’t look cheap on the wall, and does exactly what it’s supposed to do.
Since installing it, we haven’t lost a remote once — which alone mak"
caddy,basic,durability,negative,1,1,1.0,,,B0DDPQNDWR,20250706,Material is brittle. It breaks easily when installed.  I had to throw away the two I ordered because one came broken and the other broke easily when installing
caddy,delight,durability,positive,1,0,5.0,,storage,B0DDPQNDWR,20241021,"This was exactly what I needed to mount on the side of my nightstand. It will hold five normal size remotes, which you can see in the one photo but I’m really only holding four remotes. I love having one spot to put them all and I like that"
caddy,expected,ease_of_use,negative,1,0,3.0,older_adult,storage,B0DDPQNDWR,20260219,Easy to install and is durability is great. The sections don’t have much room for certain objects
caddy,expected,instructions_setup,negative,1,0,3.0,older_adult,storage,B0DDPQNDWR,20260219,Easy to install and is durability is great. The sections don’t have much room for certain objects
caddy,delight,instructions_setup,positive,1,0,5.0,,,B0DDPQNDWR,20260204,"I love it, super easy installation, and keeps the remotes high up from the little ones."
caddy,uncategorized,instructions_setup,positive,1,1,4.0,,,B0DDPQNDWR,20250917,"It just as you see. The dividers are removable and a little tricky to install, but I wraped it with some leather repair tape to make it look nice."
caddy,basic,instructions_setup,negative,1,1,1.0,,,B0DDPQNDWR,20250706,Material is brittle. It breaks easily when installed.  I had to throw away the two I ordered because one came broken and the other broke easily when installing
caddy,uncategorized,instructions_setup,negative,1,1,2.0,,,B0DDPQNDWR,20241122,ordered this thinking it would sit up and not installed on the wall.  It was too thin for what I needed it for.
caddy,uncategorized,material_quality,positive,1,0,5.0,,,B0DDPQNDWR,20260209,Made of good plastic and definitely will last.
caddy,basic,material_quality,negative,1,1,1.0,,,B0DDPQNDWR,20250706,Material is brittle. It breaks easily when installed.  I had to throw away the two I ordered because one came broken and the other broke easily when installing
caddy,delight,material_quality,positive,1,0,5.0,,storage,B0DDPQNDWR,20241021,"This was exactly what I needed to mount on the side of my nightstand. It will hold five normal size remotes, which you can see in the one photo but I’m really only holding four remotes. I love having one spot to put them all and I like that"
caddy,uncategorized,other,negative,1,0,1.0,,,B0DDPQNDWR,20251221,"As for me, the tape on the container was peeling off after two weeks, it kept falling off a smooth surface and the two dividers didn’t stay in place if remotes leaned up against it, it would come out the slot"
caddy,uncategorized,performance,positive,1,0,5.0,professional,,B0DDPQNDWR,20260227,I give it a 5
caddy,expected,size_fit,positive,1,1,5.0,professional,storage,B0DDPQNDWR,20251105,"Works great! Easy to setup, easy to install. Fits well into the space I had in mind for it. Now my remotes are in an easy access spot instead of getting lost in the blankets. Thanks!"
caddy,expected,value_quantity,positive,1,1,5.0,,storage,B0DDPQNDWR,20251224,"This is a great option for keeping remotes organized and easy to find. It was simple to install, doesn’t look cheap on the wall, and does exactly what it’s supposed to do.
Since installing it, we haven’t lost a remote once — which alone mak"
unknown,uncategorized,durability,negative,1,1,1.0,,,B0DDPV261N,20250818,It came warped and when installed the adhesive rip up the paint so now I’m kinda stuck with it.
unknown,uncategorized,instructions_setup,negative,1,1,1.0,,,B0DDPV261N,20250818,It came warped and when installed the adhesive rip up the paint so now I’m kinda stuck with it.
unknown,uncategorized,material_quality,negative,1,1,1.0,,,B0DDPV261N,20250818,It came warped and when installed the adhesive rip up the paint so now I’m kinda stuck with it.
unknown,delight,performance,positive,1,1,5.0,professional,,B0DRN9KQLR,20250505,Worked perfect for my remote and my cell phone in my bedroom. I attached two of them on my nightstand and now I can fin both items easily!
unknown,expected,value_quantity,positive,1,1,5.0,,travel,B0DDPV261N,20250911,"Good value for price.  Nice size. Three across fit all my remotes, my phone, and eye glass cleaning supplies and case.  Adhesive holds strong...do not plan on removing or adjusting placement. Once adhered, they‘re staying in place"
wall-mounted storage box,expected,ease_of_use,positive,1,1,5.0,older_adult,,B0DRN24XD6,20251009,Nice tape strength.  Holding up. Convient
wall-mounted storage box,uncategorized,other,positive,1,0,5.0,,,B0DRN24XD6,20250525,Been awesome to keep track of our remote!
